Year,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,Nonresident alien
2017,1654,0,3399,220,34440,12253,138744,7212,2659,6795
2016,1690,0,3338,246,35849,12282,141425,6685,2457,7677
2015,1730,0,3373,251,37905,11944,143618,6282,2203,7501
2014,1855,0,3321,251,40386,11306,147462,5992,2470,6473
2013,1869,0,3253,208,42083,10556,151710,5545,2735,6190
2012,2008,0,3385,250,44514,9517,156966,5054,3093,6045
2011,2135,0,3429,252,47805,8423,162036,4199,3977,5923
2010,2147,0,3334,234,45932,7738,159997,3388,7359,5512
2009,2271,726,2719,234,45504,6643,158051,2230,5731,4821
2008,2369,6137,179,5,39196,5634,151805,81,4561,4293
2007,2282,3163,14,43,37862,15333,136102,10,4134,4336
2006,2095,2861,0,0,37877,4258,142823,0,4063,3539
2005,2013,2739,0,0,36779,3738,140938,0,4081,3107
2004,1957,2688,0,0,35761,3232,137228,0,3287,2865
2003,1816,2527,0,0,33984,3806,133055,0,3524,2907
2002,1656,2375,0,0,34364,2648,137485,0,4392,3882
2001,1615,2198,0,0,30615,2450,134792,0,2885,3543