State,Total,"American Indian or Alaska Native","Asian or Pacific Islander",Asian,"Native Hawaiian or Other Pacific Islander","Black or African American","Hispanic or Latino",White,"Two or more races","Race/ethnicity unknown","Nonresident alien"
Total,26436441,190934,0,1589075,69887,3412421,4615816,13109459,889489,1359986,1199374
Alaska,44871,5472,0,2031,363,1145,2876,24039,3470,4716,759
Alabama,388078,2529,0,7218,385,98930,14181,233969,8859,11441,10566
Arkansas,207376,1654,0,3399,220,34440,12253,138744,7212,2659,6795
Arizona,853834,19560,0,28678,3554,95839,190817,372594,29194,88791,24807
California,3727266,15425,0,518227,17568,252912,1427529,1004433,161668,157956,171548
Colorado,499257,4178,0,16682,1362,34601,80192,285071,20231,41805,15135
Connecticut,262259,662,0,12474,321,35475,39197,137435,8027,15525,13143
"District of Columbia",115421,323,0,7068,178,29477,9788,45221,3358,7626,12382
Delaware,75185,403,0,2591,97,16356,5819,38713,2083,3539,5584
Florida,1515825,4928,0,47685,3438,275494,404835,611484,44550,64648,58763
Georgia,686047,2322,0,33867,952,220878,50774,312977,19457,17528,27292
Hawaii,82720,196,0,24940,4850,1713,9380,13060,21467,2051,5063
Iowa,346318,1696,0,9123,757,33201,24891,232958,8656,19678,15358
Idaho,197271,1388,0,2630,769,1920,16434,124796,6869,23787,18678
Illinois,1098714,2473,0,66506,1478,141677,191565,562231,26753,56901,49130
Indiana,541074,1204,0,15660,539,50466,31097,371564,17326,24301,28917
Kansas,293994,3520,0,8786,619,25855,28200,187407,10263,14160,15184
Kentucky,328955,728,0,5542,333,27307,11134,241152,9053,16446,17260
Louisiana,311493,1996,0,7347,559,98317,16342,157231,7602,12807,9292
Massachusetts,636056,1248,0,45854,546,53865,67168,328993,17144,48142,73096
Maryland,480724,1390,0,33508,1231,131162,42867,205036,18515,20251,26764
Maine,94939,756,0,2285,88,3365,2323,69093,2067,13142,1820
Michigan,712084,4116,0,26428,752,88514,35538,461608,22323,34245,38560
Minnesota,564397,4226,0,28181,860,82570,28642,334902,17741,48128,19147
Missouri,487983,2200,0,14946,829,57393,25346,330563,15387,20324,20995
Mississippi,218784,988,0,2708,186,82284,5095,116886,3465,3436,3736
Montana,63104,5541,0,938,126,581,2386,46695,2166,2864,1807
"North Carolina",712094,7830,0,23040,970,160775,55107,390983,21874,28351,23164
"North Dakota",66215,3095,0,991,101,2346,2456,50013,1997,2036,3180
Nebraska,177617,1346,0,5367,301,9548,17179,124588,4996,7748,6544
"New Hampshire",216844,1163,0,4934,789,25281,15552,135183,3991,26101,3850
"New Jersey",557355,1429,0,46370,1244,76760,108609,242659,11342,43057,25885
"New Mexico",177280,16494,0,3362,385,5379,80048,55654,3802,7846,4310
Nevada,158753,1151,0,15784,1673,12925,41426,65577,9728,7748,2741
"New York",1627433,5656,0,144728,2905,222598,279292,718237,37122,92249,124646
Ohio,853560,2329,0,22877,762,103089,34874,583278,26716,42340,37295
Oklahoma,282093,22248,0,8132,499,22965,25525,155363,25030,10303,12028
Oregon,340786,3408,0,18111,1956,9307,42412,200710,18328,31293,15261
Pennsylvania,886031,1777,0,45535,915,100062,62031,550812,25144,44586,55169
"Rhode Island",98995,338,0,4053,91,7293,12432,58257,3316,7827,5388
"South Carolina",307410,1117,0,5371,383,77525,14128,183964,9454,9171,6297
"South Dakota",78029,4262,0,1092,126,4438,3006,58436,1818,2376,2475
Tennessee,412830,1216,0,10060,443,78346,18270,272725,11651,9298,10821
Texas,2209555,8078,0,132154,3573,290694,811448,774745,59930,45833,83100
Utah,472991,3687,0,12809,3431,21213,47389,337480,15441,22495,9046
Virginia,713755,2546,0,45088,1679,134827,57551,370140,27375,50777,23772
Vermont,59795,254,0,1513,53,2060,3127,43847,2039,4343,2559
Washington,507899,5621,0,42150,3142,22064,60461,255118,33661,56442,29240
Wisconsin,433338,3227,0,16336,443,25112,29085,316688,11758,16082,14607
"West Virginia",207863,894,0,3526,986,21582,13960,142716,6834,12083,5282
Wyoming,43891,646,0,390,77,495,3779,33431,1236,2704,1133