Year,Total,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,Nonresident alien
2017,26436441,190934,0,1589075,69887,3412421,4615816,13109459,889489,1359986,1199374
2016,26706865,195542,0,1565032,71647,3528928,4490786,13418441,844979,1392363,1199147
2015,26953976,200529,0,1529977,73402,3624362,4329298,13680460,820209,1510507,1185232
2014,27410085,211845,0,1495137,76521,3812321,4191763,14043480,794780,1659728,1124510
2013,27835916,221995,0,1476601,80841,3955467,4056980,14521417,733642,1753127,1035846
2012,28300104,236053,0,1462006,88264,4080666,3911727,15002953,658761,1904030,955644
2011,29036155,252455,0,1479942,91078,4222281,3841190,15512986,566312,2165167,904744
2010,29507367,264984,0,1492453,94954,4218026,3693241,15937428,494575,2446424,865282
2009,28907440,276128,717703,830490,53855,4064522,3411122,15816863,203370,2700923,832464
2008,27253481,266165,1018615,542039,34910,3642804,3141971,15254422,36205,2496995,819355
2007,25886779,257043,1476384,33194,5043,3373486,2890310,14844482,7307,2203421,796109
2006,25043867,249774,1455831,0,0,3192059,2689647,14639431,0,2072687,744438
2005,24689847,248426,1420561,0,0,3113057,2603987,14566818,0,2005766,731232
2004,24485664,250186,1395029,0,0,3084856,2520903,14638581,0,1859192,736917
2003,24114942,253916,1432682,0,0,2924986,2408743,14524005,0,1812996,757614
2002,23793871,239684,1381863,0,0,2863873,2370799,14498169,0,1699246,740237
2001,23010948,227715,1340412,0,0,2697506,2252827,14083702,0,1691092,717694